"month","type","category","number"
"2017-06","10 Year","Category D","177"
"2017-07","5 Year","Category A","899"
"2017-07","5 Year","Category B","569"
"2017-07","5 Year","Category C","2001"
"2017-07","5 Year","Category D","245"
"2017-07","10 Year","Category A","197"
"2017-07","10 Year","Category B","351"
"2017-07","10 Year","Category C","473"
"2017-07","10 Year","Category D","181"
"2017-08","5 Year","Category A","933"
"2017-08","5 Year","Category B","684"
"2017-08","5 Year","Category C","1114"
"2017-08","5 Year","Category D","222"
"2017-08","10 Year","Category A","228"
"2017-08","10 Year","Category B","481"
"2017-08","10 Year","Category C","112"
"2017-08","10 Year","Category D","210"
"2017-09","5 Year","Category A","813"
"2017-09","5 Year","Category B","612"
"2017-09","5 Year","Category C","517"
"2017-09","5 Year","Category D","243"
"2017-09","10 Year","Category A","237"
"2017-09","10 Year","Category B","531"
"2017-09","10 Year","Category C","41"
"2017-09","10 Year","Category D","208"
"2017-10","5 Year","Category A","888"
"2017-10","5 Year","Category B","403"
"2017-10","5 Year","Category C","577"
"2017-10","5 Year","Category D","258"
"2017-10","10 Year","Category A","296"
"2017-10","10 Year","Category B","365"
"2017-10","10 Year","Category C","47"
"2017-10","10 Year","Category D","318"
"2017-11","5 Year","Category A","1614"
"2017-11","5 Year","Category B","912"
"2017-11","5 Year","Category C","735"
"2017-11","5 Year","Category D","446"
"2017-11","10 Year","Category A","909"
"2017-11","10 Year","Category B","1385"
"2017-11","10 Year","Category C","46"
"2017-11","10 Year","Category D","821"
"2017-12","5 Year","Category A","714"
"2017-12","5 Year","Category B","437"
"2017-12","5 Year","Category C","235"
"2017-12","5 Year","Category D","332"
"2017-12","10 Year","Category A","177"
"2017-12","10 Year","Category B","310"
"2017-12","10 Year","Category C","11"
"2017-12","10 Year","Category D","485"
"2018-01","5 Year","Category A","765"
"2018-01","5 Year","Category B","433"
"2018-01","5 Year","Category C","336"
"2018-01","5 Year","Category D","314"
"2018-01","10 Year","Category A","160"
"2018-01","10 Year","Category B","247"
"2018-01","10 Year","Category C","11"
"2018-01","10 Year","Category D","440"
"2018-02","5 Year","Category A","677"
"2018-02","5 Year","Category B","357"
"2018-02","5 Year","Category C","372"
"2018-02","5 Year","Category D","205"
"2018-02","10 Year","Category A","191"
"2018-02","10 Year","Category B","315"
"2018-02","10 Year","Category C","17"
"2018-02","10 Year","Category D","196"
"2018-03","5 Year","Category A","1071"
"2018-03","5 Year","Category B","568"
"2018-03","5 Year","Category C","809"
"2018-03","5 Year","Category D","291"
"2018-03","10 Year","Category A","410"
"2018-03","10 Year","Category B","567"
"2018-03","10 Year","Category C","55"
"2018-03","10 Year","Category D","161"
"2018-04","5 Year","Category A","1286"
"2018-04","5 Year","Category B","511"
"2018-04","5 Year","Category C","845"
"2018-04","5 Year","Category D","144"
"2018-04","10 Year","Category A","491"
"2018-04","10 Year","Category B","650"
"2018-04","10 Year","Category C","70"
"2018-04","10 Year","Category D","108"
"2018-05","5 Year","Category A","1542"
"2018-05","5 Year","Category B","677"
"2018-05","5 Year","Category C","1079"
"2018-05","5 Year","Category D","227"
"2018-05","10 Year","Category A","617"
"2018-05","10 Year","Category B","954"
"2018-05","10 Year","Category C","95"
"2018-05","10 Year","Category D","167"
"2018-06","5 Year","Category A","1045"
"2018-06","5 Year","Category B","649"
"2018-06","5 Year","Category C","963"
"2018-06","5 Year","Category D","270"
"2018-06","10 Year","Category A","362"
"2018-06","10 Year","Category B","869"
"2018-06","10 Year","Category C","81"
"2018-06","10 Year","Category D","174"
"2018-07","5 Year","Category A","1111"
"2018-07","5 Year","Category B","611"
"2018-07","5 Year","Category C","1171"
"2018-07","5 Year","Category D","245"
"2018-07","10 Year","Category A","398"
"2018-07","10 Year","Category B","798"
"2018-07","10 Year","Category C","71"
"2018-07","10 Year","Category D","226"
"2018-08","5 Year","Category A","1285"
"2018-08","5 Year","Category B","679"
"2018-08","5 Year","Category C","1036"
"2018-08","5 Year","Category D","264"
"2018-08","10 Year","Category A","528"
"2018-08","10 Year","Category B","908"
"2018-08","10 Year","Category C","108"
"2018-08","10 Year","Category D","192"
"2018-09","5 Year","Category A","1370"
"2018-09","5 Year","Category B","658"
"2018-09","5 Year","Category C","931"
"2018-09","5 Year","Category D","228"
"2018-09","10 Year","Category A","670"
"2018-09","10 Year","Category B","987"
"2018-09","10 Year","Category C","99"
"2018-09","10 Year","Category D","227"
"2018-10","5 Year","Category A","1399"
"2018-10","5 Year","Category B","585"
"2018-10","5 Year","Category C","730"
"2018-10","5 Year","Category D","211"
"2018-10","10 Year","Category A","699"
"2018-10","10 Year","Category B","988"
"2018-10","10 Year","Category C","119"
"2018-10","10 Year","Category D","234"
"2018-11","5 Year","Category A","1484"
"2018-11","5 Year","Category B","649"
"2018-11","5 Year","Category C","532"
"2018-11","5 Year","Category D","184"
"2018-11","10 Year","Category A","760"
"2018-11","10 Year","Category B","1019"
"2018-11","10 Year","Category C","101"
"2018-11","10 Year","Category D","196"
"2018-12","5 Year","Category A","1746"
"2018-12","5 Year","Category B","516"
"2018-12","5 Year","Category C","624"
"2018-12","5 Year","Category D","197"
"2018-12","10 Year","Category A","935"
"2018-12","10 Year","Category B","917"
"2018-12","10 Year","Category C","99"
"2018-12","10 Year","Category D","391"
"2019-01","5 Year","Category A","1687"
"2019-01","5 Year","Category B","753"
"2019-01","5 Year","Category C","694"
"2019-01","5 Year","Category D","248"
"2019-01","10 Year","Category A","1038"
"2019-01","10 Year","Category B","1836"
"2019-01","10 Year","Category C","110"
"2019-01","10 Year","Category D","403"
"2019-02","5 Year","Category A","1517"
"2019-02","5 Year","Category B","628"
"2019-02","5 Year","Category C","846"
"2019-02","5 Year","Category D","413"
"2019-02","10 Year","Category A","1017"
"2019-02","10 Year","Category B","1534"
"2019-02","10 Year","Category C","112"
"2019-02","10 Year","Category D","1112"
"2019-03","5 Year","Category A","2350"
"2019-03","5 Year","Category B","736"
"2019-03","5 Year","Category C","1547"
"2019-03","5 Year","Category D","133"
"2019-03","10 Year","Category A","2320"
"2019-03","10 Year","Category B","2012"
"2019-03","10 Year","Category C","162"
"2019-03","10 Year","Category D","158"
"2019-04","5 Year","Category A","2479"
"2019-04","5 Year","Category B","538"
"2019-04","5 Year","Category C","1080"
"2019-04","5 Year","Category D","216"
"2019-04","10 Year","Category A","2558"
"2019-04","10 Year","Category B","2190"
"2019-04","10 Year","Category C","266"
"2019-04","10 Year","Category D","331"
"2019-05","5 Year","Category A","1615"
"2019-05","5 Year","Category B","295"
"2019-05","5 Year","Category C","599"
"2019-05","5 Year","Category D","160"
"2019-05","10 Year","Category A","827"
"2019-05","10 Year","Category B","545"
"2019-05","10 Year","Category C","101"
"2019-05","10 Year","Category D","142"
"2019-06","5 Year","Category A","718"
"2019-06","5 Year","Category B","93"
"2019-06","5 Year","Category C","365"
"2019-06","5 Year","Category D","152"
"2019-06","10 Year","Category A","232"
"2019-06","10 Year","Category B","98"
"2019-06","10 Year","Category C","50"
"2019-06","10 Year","Category D","193"
"2019-07","5 Year","Category A","618"
"2019-07","5 Year","Category B","173"
"2019-07","5 Year","Category C","1157"
"2019-07","5 Year","Category D","188"
"2019-07","10 Year","Category A","168"
"2019-07","10 Year","Category B","205"
"2019-07","10 Year","Category C","64"
"2019-07","10 Year","Category D","238"
"2019-08","5 Year","Category A","1184"
"2019-08","5 Year","Category B","206"
"2019-08","5 Year","Category C","733"
"2019-08","5 Year","Category D","352"
"2019-08","10 Year","Category A","537"
"2019-08","10 Year","Category B","436"
"2019-08","10 Year","Category C","93"
"2019-08","10 Year","Category D","753"
"2019-09","5 Year","Category A","1175"
"2019-09","5 Year","Category B","189"
"2019-09","5 Year","Category C","499"
"2019-09","5 Year","Category D","163"
"2019-09","10 Year","Category A","617"
"2019-09","10 Year","Category B","467"
"2019-09","10 Year","Category C","94"
"2019-09","10 Year","Category D","208"
"2019-10","5 Year","Category A","1040"
"2019-10","5 Year","Category B","347"
"2019-10","5 Year","Category C","738"
"2019-10","5 Year","Category D","120"
"2019-10","10 Year","Category A","478"
"2019-10","10 Year","Category B","1191"
"2019-10","10 Year","Category C","92"
"2019-10","10 Year","Category D","181"
"2019-11","5 Year","Category A","403"
"2019-11","5 Year","Category B","149"
"2019-11","5 Year","Category C","365"
"2019-11","5 Year","Category D","88"
"2019-11","10 Year","Category A","116"
"2019-11","10 Year","Category B","292"
"2019-11","10 Year","Category C","41"
"2019-11","10 Year","Category D","103"
"2019-12","5 Year","Category A","937"
"2019-12","5 Year","Category B","265"
"2019-12","5 Year","Category C","522"
"2019-12","5 Year","Category D","173"
"2019-12","10 Year","Category A","469"
"2019-12","10 Year","Category B","499"
"2019-12","10 Year","Category C","75"
"2019-12","10 Year","Category D","213"
"2020-01","5 Year","Category A","1159"
"2020-01","5 Year","Category B","289"
"2020-01","5 Year","Category C","491"
"2020-01","5 Year","Category D","256"
"2020-01","10 Year","Category A","443"
"2020-01","10 Year","Category B","567"
"2020-01","10 Year","Category C","97"
"2020-01","10 Year","Category D","450"
"2020-02","5 Year","Category A","532"
"2020-02","5 Year","Category B","150"
"2020-02","5 Year","Category C","425"
"2020-02","5 Year","Category D","151"
"2020-02","10 Year","Category A","193"
"2020-02","10 Year","Category B","436"
"2020-02","10 Year","Category C","64"
"2020-02","10 Year","Category D","216"
"2020-03","5 Year","Category A","574"
"2020-03","5 Year","Category B","215"
"2020-03","5 Year","Category C","807"
"2020-03","5 Year","Category D","214"
"2020-03","10 Year","Category A","262"
"2020-03","10 Year","Category B","738"
"2020-03","10 Year","Category C","79"
"2020-03","10 Year","Category D","250"
"2020-04","5 Year","Category A","442"
"2020-04","5 Year","Category B","136"
"2020-04","5 Year","Category C","554"
"2020-04","5 Year","Category D","154"
"2020-04","10 Year","Category A","236"
"2020-04","10 Year","Category B","597"
"2020-04","10 Year","Category C","52"
"2020-04","10 Year","Category D","142"
"2020-05","5 Year","Category A","360"
"2020-05","5 Year","Category B","126"
"2020-05","5 Year","Category C","259"
"2020-05","5 Year","Category D","166"
"2020-05","10 Year","Category A","164"
"2020-05","10 Year","Category B","491"
"2020-05","10 Year","Category C","54"
"2020-05","10 Year","Category D","173"
"2020-06","5 Year","Category A","427"
"2020-06","5 Year","Category B","138"
"2020-06","5 Year","Category C","556"
"2020-06","5 Year","Category D","191"
"2020-06","10 Year","Category A","238"
"2020-06","10 Year","Category B","713"
"2020-06","10 Year","Category C","45"
"2020-06","10 Year","Category D","263"
"2020-07","5 Year","Category A","461"
"2020-07","5 Year","Category B","159"
"2020-07","5 Year","Category C","563"
"2020-07","5 Year","Category D","437"
"2020-07","10 Year","Category A","257"
"2020-07","10 Year","Category B","816"
"2020-07","10 Year","Category C","90"
"2020-07","10 Year","Category D","1005"
"2020-08","5 Year","Category A","661"
"2020-08","5 Year","Category B","194"
"2020-08","5 Year","Category C","532"
"2020-08","5 Year","Category D","165"
"2020-08","10 Year","Category A","419"
"2020-08","10 Year","Category B","1725"
"2020-08","10 Year","Category C","75"
"2020-08","10 Year","Category D","187"
"2020-09","5 Year","Category A","571"
"2020-09","5 Year","Category B","151"
"2020-09","5 Year","Category C","851"
"2020-09","5 Year","Category D","120"
"2020-09","10 Year","Category A","403"
"2020-09","10 Year","Category B","1064"
"2020-09","10 Year","Category C","171"
"2020-09","10 Year","Category D","106"
"2020-10","5 Year","Category A","336"
"2020-10","5 Year","Category B","67"
"2020-10","5 Year","Category C","694"
"2020-10","5 Year","Category D","90"
"2020-10","10 Year","Category A","208"
"2020-10","10 Year","Category B","453"
"2020-10","10 Year","Category C","151"
"2020-10","10 Year","Category D","58"
"2020-11","5 Year","Category A","219"
"2020-11","5 Year","Category B","48"
"2020-11","5 Year","Category C","371"
"2020-11","5 Year","Category D","94"
"2020-11","10 Year","Category A","177"
"2020-11","10 Year","Category B","354"
"2020-11","10 Year","Category C","52"
"2020-11","10 Year","Category D","56"
"2020-12","5 Year","Category A","334"
"2020-12","5 Year","Category B","92"
"2020-12","5 Year","Category C","569"
"2020-12","5 Year","Category D","221"
"2020-12","10 Year","Category A","334"
"2020-12","10 Year","Category B","942"
"2020-12","10 Year","Category C","69"
"2020-12","10 Year","Category D","168"
"2021-01","5 Year","Category A","285"
"2021-01","5 Year","Category B","75"
"2021-01","5 Year","Category C","593"
"2021-01","5 Year","Category D","183"
"2021-01","10 Year","Category A","284"
"2021-01","10 Year","Category B","697"
"2021-01","10 Year","Category C","59"
"2021-01","10 Year","Category D","127"
"2021-02","5 Year","Category A","192"
"2021-02","5 Year","Category B","46"
"2021-02","5 Year","Category C","585"
"2021-02","5 Year","Category D","205"
"2021-02","10 Year","Category A","165"
"2021-02","10 Year","Category B","305"
"2021-02","10 Year","Category C","72"
"2021-02","10 Year","Category D","143"
"2021-03","5 Year","Category A","270"
"2021-03","5 Year","Category B","36"
"2021-03","5 Year","Category C","507"
"2021-03","5 Year","Category D","171"
"2021-03","10 Year","Category A","201"
"2021-03","10 Year","Category B","174"
"2021-03","10 Year","Category C","43"
"2021-03","10 Year","Category D","192"
"2021-04","5 Year","Category A","325"
"2021-04","5 Year","Category B","145"
"2021-04","5 Year","Category C","445"
"2021-04","5 Year","Category D","175"
"2021-04","10 Year","Category A","443"
"2021-04","10 Year","Category B","1475"
"2021-04","10 Year","Category C","41"
"2021-04","10 Year","Category D","236"
"2021-05","5 Year","Category A","191"
"2021-05","5 Year","Category B","62"
"2021-05","5 Year","Category C","284"
"2021-05","5 Year","Category D","223"
"2021-05","10 Year","Category A","118"
"2021-05","10 Year","Category B","477"
"2021-05","10 Year","Category C","17"
"2021-05","10 Year","Category D","258"
"2021-06","5 Year","Category A","192"
"2021-06","5 Year","Category B","41"
"2021-06","5 Year","Category C","524"
"2021-06","5 Year","Category D","143"
"2021-06","10 Year","Category A","207"
"2021-06","10 Year","Category B","262"
"2021-06","10 Year","Category C","53"
"2021-06","10 Year","Category D","120"
"2021-07","5 Year","Category A","80"
"2021-07","5 Year","Category B","34"
"2021-07","5 Year","Category C","856"
"2021-07","5 Year","Category D","143"
"2021-07","10 Year","Category A","106"
"2021-07","10 Year","Category B","137"
"2021-07","10 Year","Category C","46"
"2021-07","10 Year","Category D","155"
"2021-08","5 Year","Category A","163"
"2021-08","5 Year","Category B","27"
"2021-08","5 Year","Category C","648"
"2021-08","5 Year","Category D","218"
"2021-08","10 Year","Category A","234"
"2021-08","10 Year","Category B","138"
"2021-08","10 Year","Category C","50"
"2021-08","10 Year","Category D","255"
"2021-09","5 Year","Category A","130"
"2021-09","5 Year","Category B","70"
"2021-09","5 Year","Category C","757"
"2021-09","5 Year","Category D","147"
"2021-09","10 Year","Category A","114"
"2021-09","10 Year","Category B","588"
"2021-09","10 Year","Category C","58"
"2021-09","10 Year","Category D","147"
"2021-10","5 Year","Category A","142"
"2021-10","5 Year","Category B","74"
"2021-10","5 Year","Category C","340"
"2021-10","5 Year","Category D","126"
"2021-10","10 Year","Category A","462"
"2021-10","10 Year","Category B","887"
"2021-10","10 Year","Category C","33"
"2021-10","10 Year","Category D","107"
"2021-11","5 Year","Category A","157"
"2021-11","5 Year","Category B","36"
"2021-11","5 Year","Category C","549"
"2021-11","5 Year","Category D","128"
"2021-11","10 Year","Category A","304"
"2021-11","10 Year","Category B","266"
"2021-11","10 Year","Category C","54"
"2021-11","10 Year","Category D","88"
"2021-12","5 Year","Category A","104"
"2021-12","5 Year","Category B","35"
"2021-12","5 Year","Category C","538"
"2021-12","5 Year","Category D","129"
"2021-12","10 Year","Category A","199"
"2021-12","10 Year","Category B","150"
"2021-12","10 Year","Category C","33"
"2021-12","10 Year","Category D","126"
"2022-01","5 Year","Category A","77"
"2022-01","5 Year","Category B","22"
"2022-01","5 Year","Category C","332"
"2022-01","5 Year","Category D","238"
"2022-01","10 Year","Category A","135"
"2022-01","10 Year","Category B","95"
"2022-01","10 Year","Category C","30"
"2022-01","10 Year","Category D","215"
"2022-02","5 Year","Category A","133"
"2022-02","5 Year","Category B","46"
"2022-02","5 Year","Category C","489"
"2022-02","5 Year","Category D","263"
"2022-02","10 Year","Category A","220"
"2022-02","10 Year","Category B","262"
"2022-02","10 Year","Category C","34"
"2022-02","10 Year","Category D","234"
"2022-03","5 Year","Category A","138"
"2022-03","5 Year","Category B","62"
"2022-03","5 Year","Category C","877"
"2022-03","5 Year","Category D","285"
"2022-03","10 Year","Category A","335"
"2022-03","10 Year","Category B","300"
"2022-03","10 Year","Category C","46"
"2022-03","10 Year","Category D","246"
"2022-04","5 Year","Category A","79"
"2022-04","5 Year","Category B","22"
"2022-04","5 Year","Category C","594"
"2022-04","5 Year","Category D","162"
"2022-04","10 Year","Category A","110"
"2022-04","10 Year","Category B","130"
"2022-04","10 Year","Category C","20"
"2022-04","10 Year","Category D","94"
"2022-05","5 Year","Category A","83"
"2022-05","5 Year","Category B","30"
"2022-05","5 Year","Category C","432"
"2022-05","5 Year","Category D","139"
"2022-05","10 Year","Category A","66"
"2022-05","10 Year","Category B","101"
"2022-05","10 Year","Category C","17"
"2022-05","10 Year","Category D","95"
"2022-06","5 Year","Category A","84"
"2022-06","5 Year","Category B","36"
"2022-06","5 Year","Category C","510"
"2022-06","5 Year","Category D","236"
"2022-06","10 Year","Category A","98"
"2022-06","10 Year","Category B","204"
"2022-06","10 Year","Category C","19"
"2022-06","10 Year","Category D","155"
"2022-07","5 Year","Category A","104"
"2022-07","5 Year","Category B","46"
"2022-07","5 Year","Category C","742"
"2022-07","5 Year","Category D","428"
"2022-07","10 Year","Category A","168"
"2022-07","10 Year","Category B","254"
"2022-07","10 Year","Category C","22"
"2022-07","10 Year","Category D","347"
"2022-08","5 Year","Category A","69"
"2022-08","5 Year","Category B","26"
"2022-08","5 Year","Category C","716"
"2022-08","5 Year","Category D","272"
"2022-08","10 Year","Category A","143"
"2022-08","10 Year","Category B","126"
"2022-08","10 Year","Category C","40"
"2022-08","10 Year","Category D","214"
"2022-09","5 Year","Category A","52"
"2022-09","5 Year","Category B","29"
"2022-09","5 Year","Category C","515"
"2022-09","5 Year","Category D","251"
"2022-09","10 Year","Category A","66"
"2022-09","10 Year","Category B","66"
"2022-09","10 Year","Category C","27"
"2022-09","10 Year","Category D","149"
"2022-10","5 Year","Category A","34"
"2022-10","5 Year","Category B","14"
"2022-10","5 Year","Category C","407"
"2022-10","5 Year","Category D","301"
"2022-10","10 Year","Category A","34"
"2022-10","10 Year","Category B","58"
"2022-10","10 Year","Category C","17"
"2022-10","10 Year","Category D","213"
"2022-11","5 Year","Category A","58"
"2022-11","5 Year","Category B","34"
"2022-11","5 Year","Category C","423"
"2022-11","5 Year","Category D","242"
"2022-11","10 Year","Category A","66"
"2022-11","10 Year","Category B","195"
"2022-11","10 Year","Category C","23"
"2022-11","10 Year","Category D","199"
"2022-12","5 Year","Category A","36"
"2022-12","5 Year","Category B","29"
"2022-12","5 Year","Category C","241"
"2022-12","5 Year","Category D","175"
"2022-12","10 Year","Category A","43"
"2022-12","10 Year","Category B","71"
"2022-12","10 Year","Category C","6"
"2022-12","10 Year","Category D","101"
"2023-01","5 Year","Category A","44"
"2023-01","5 Year","Category B","34"
"2023-01","5 Year","Category C","234"
"2023-01","5 Year","Category D","164"
